deviceId,receivedAt,date,hour,temperature,humidity,light,rain,status,mode,source
a92e5ed47d3e8b412a65dca06ab56dfb,1779978661830,2026-05-28,21,0.3,0,1512,false,OPEN,AUTO,STATUS_TOPIC
a92e5ed47d3e8b412a65dca06ab56dfb,1779978665460,2026-05-28,21,27.8,67,1483,false,OPEN,AUTO,STATUS_TOPIC
a92e5ed47d3e8b412a65dca06ab56dfb,1779978670472,2026-05-28,21,27,67,1507,false,OPEN,AUTO,STATUS_TOPIC
a92e5ed47d3e8b412a65dca06ab56dfb,1779978675470,2026-05-28,21,27.5,67,1505,false,CLOSED,MANUAL,STATUS_TOPIC
a92e5ed47d3e8b412a65dca06ab56dfb,1779978681504,2026-05-28,21,27.6,67,2915,false,OPEN,MANUAL,STATUS_TOPIC
a92e5ed47d3e8b412a65dca06ab56dfb,1779978686505,2026-05-28,21,27.9,67,1360,false,OPEN,MANUAL,STATUS_TOPIC
a92e5ed47d3e8b412a65dca06ab56dfb,1779978691504,2026-05-28,21,27.3,67,1584,false,OPEN,MANUAL,STATUS_TOPIC
a92e5ed47d3e8b412a65dca06ab56dfb,1779978696980,2026-05-28,21,27,67,1573,false,OPEN,MANUAL,STATUS_TOPIC
a92e5ed47d3e8b412a65dca06ab56dfb,1779978701510,2026-05-28,21,27.4,67,1562,false,OPEN,MANUAL,STATUS_TOPIC
a92e5ed47d3e8b412a65dca06ab56dfb,1779978706508,2026-05-28,21,27.5,67,1584,false,OPEN,MANUAL,STATUS_TOPIC
a92e5ed47d3e8b412a65dca06ab56dfb,1779978711512,2026-05-28,21,27.2,67,1571,false,OPEN,MANUAL,SENSOR_FALLBACK
a92e5ed47d3e8b412a65dca06ab56dfb,1779978716508,2026-05-28,21,27.8,67,1584,false,OPEN,MANUAL,SENSOR_FALLBACK
a92e5ed47d3e8b412a65dca06ab56dfb,1779978721604,2026-05-28,21,27.3,67,1583,false,OPEN,MANUAL,SENSOR_FALLBACK
a92e5ed47d3e8b412a65dca06ab56dfb,1779978726520,2026-05-28,21,27.9,67,1589,false,OPEN,MANUAL,SENSOR_FALLBACK
a92e5ed47d3e8b412a65dca06ab56dfb,1779978731557,2026-05-28,21,27.7,67,1595,false,OPEN,MANUAL,SENSOR_FALLBACK
a92e5ed47d3e8b412a65dca06ab56dfb,1779978736513,2026-05-28,21,27,67,1790,false,OPEN,MANUAL,SENSOR_FALLBACK
a92e5ed47d3e8b412a65dca06ab56dfb,1779978741507,2026-05-28,21,27.8,67,1734,false,OPEN,MANUAL,STATUS_TOPIC
a92e5ed47d3e8b412a65dca06ab56dfb,1779978746514,2026-05-28,21,27.6,67,1730,false,OPEN,MANUAL,STATUS_TOPIC
a92e5ed47d3e8b412a65dca06ab56dfb,1779978751512,2026-05-28,21,27.3,67,1559,false,CLOSED,MANUAL,STATUS_TOPIC
a92e5ed47d3e8b412a65dca06ab56dfb,1779978756515,2026-05-28,21,27.2,67,1387,false,CLOSED,MANUAL,STATUS_TOPIC
